title,link,published,content
DHG: Ngày GDKHQ trả cổ tức năm 2024 bằng tiền (60%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-tra-co-tuc-nam-2024-bang-tien-60-post369577.html,19/05/2025 11:49,"- Ngày giao dịch không hưởng quyền: 23/5/2025
- Ngày đăng ký cuối cùng: 26/05/2025
- Lý do mục đích: Trả cổ tức bằng tiền năm 2024
- Tỉ lệ thực hiện: 60%/cổ phiếu (01 cổ phiếu được nhận 6.000 đồng)
- Ngày thanh toán: 18/06/2025
- Địa điểm thực hiện:
+ Đối với chứng khoán đã lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký chứng khoán.
+ Đối với chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại trụ sở chính CTCP Dược Hậu Giang, số 288 Bis Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, Tp. Cần Thơ vào các ngày làm việc trong tuần bắt đầu từ ngày 18/06/2025 và xuất trình căn cước công dân/căn cước"
DHG: Ngày GDKHQ nhận tạm ứng cổ tức bằng tiền năm 2024 (40%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-nhan-tam-ung-co-tuc-bang-tien-nam-2024-40-post360107.html,16/12/2024 17:27,"Ngày giao dịch không hưởng quyền: 24/12/2024
Ngày đăng ký cuối cùng: 25/12/2024
Lý do mục đích: Tạm ứng cổ tức bằng tiền năm 2024
- Tỷ lệ thực hiện: 40%/cổ phiếu (01 cổ phiếu được nhận 4.000 đồng)
- Ngày thanh toán: 14/02/2025
- Địa điểm thực hiện:
+ Đối với chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.
+ Đối với chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại trụ sở chính CTCP Dược Hậu Giang, số 288 Bis Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, Tp. Cần Thơ vào các ngày làm việc trong tuần bắt đầu từ ngày 14/02/2025 và xuất trình chứng minh nhân dân."
"Dược Hậu Giang (DHG) muốn chi gần 784,5 tỷ đồng trả cổ tức 2024, tỷ lệ 60%",https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-muon-chi-gan-7845-ty-dong-tra-co-tuc-2024-ty-le-60-post369168.html,13/05/2025 09:15,"Theo đó, Công ty sẽ trả cổ tức bằng tiền, tỷ lệ 60% (tương ứng 01 cổ phiếu được nhận 6.000 đồng). Thời gian thanh toán vào ngày 18/06/2025.
Như vậy, với hơn 130,7 triệu cổ phiếu đang lưu hành, Dược Hậu Giang sẽ chi gần 784,5 tỷ đồng trả cổ tức cho cổ đông từ nguồn lợi nhuận sau thuế chưa phân phối trên BCTC kiểm toán năm 2024 và lợi nhuận sau thuế chưa phân phối từ hoàn nhập Quỹ đầu tư phát triển.
Trước đó, vào giữa tháng 2/2025, Công ty đã tạm ứng cổ tức năm 2024 với tỷ lệ 40% bằng tiền mặt. Như vậy, sau 2 đợt trả cổ tức, Công ty đã hoàn tất nghĩa vụ cổ tức được cổ đông thông qua tại ĐHĐCĐ năm 2025 với tổng tỷ lệ 100%. Đây cũng là mức cổ tức cao lịch sử của DHG, vượt qua mức 75% của năm 2023.
Trong khi đó, kết thúc năm 2024, Dược Hậu Giang ghi nhận kết quả kinh doanh đi lùi với doanh thu đạt 4.885 tỷ đồng, giảm gần 3% so với năm trước và lợi nhuận sau thuế đạt 779 tỷ đồng, giảm 26%.
Theo báo cáo tài chính mới nhất, kết thúc quý I/2025, Dược Hậu Giang mang về 1.195 tỷ đồng doanh thu thuần, giảm 5% so với quý I/2024; nhưng lợi nhuận sau thuế tăng tới 20%, đạt 266 tỷ đồng nhờ cơ cấu doanh thu tích cực (dù doanh thu hàng hoá giảm, nhưng doanh thu hàng DHG sản xuất tăng, giúp cải thiện hiệu quả biên lợi nhuận), và tối ưu chi phí giúp lợi nhuận tăng.
Năm 2025, DHG đã thông qua kế hoạch kinh doanh với mục tiêu doanh thu đạt 5.210 tỷ đồng và lãi trước thuế đạt 940 tỷ đồng, tăng lần lượt 7% và 4% so với thực hiện 2024. Với kết quả đạt 293 tỷ đồng lợi nhuận trước thuế, kết thúc quý I, Công ty đã hoàn thành hơn 31% mục tiêu lợi nhuận cả năm.
Trên thị trường chứng khoán, đóng cửa phiên giao dịch ngày 12/05, cổ phiếu DHG giảm 1,23%, về mức 104.500 đồng/CP. Nhưng với mức giá này, cổ phiếu đã phục hồi gần 17% từ đáy cuộc khủng hoảng thuế quan ngày 09/04 và bứt phá khỏi vùng tích luỹ trước đó."
"Dược Hậu Giang (DHG) đặt mục tiêu lợi nhuận trước thuế năm 2025 đạt 940 tỷ đồng, tăng 4%",https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-dat-muc-tieu-loi-nhuan-truoc-thue-nam-2025-dat-940-ty-dong-tang-4-post365599.html,18/03/2025 15:09,"Kế hoạch này sẽ được trình lên ĐHĐCĐ thường niên năm 2025, Công ty dự kiến tổ chức vào ngày 24/4, tại Cần Thơ.
Bên cạnh kế hoạch kinh doanh năm 2025, HĐQT Dược Hậu Giang cũng phê duyệt các giao dịch, hợp đồng thường niên giữa Công ty với các tổ chức có liên quan năm 2025 gồm CTCP Chế tạo Thuốc Taisho (Taisho) – công ty mẹ của DHG và Taisho Pharmaceuticals (Philippin) Co., Ltd – công ty con của Taisho.
Về hoạt động kinh doanh, năm 2024, Dược Hậu Giang ghi nhận doanh thu 4.885 tỷ đồng, giảm gần 3% so với năm trước; lợi nhuận trước và sau thuế đạt 904 tỷ đồng và 779 tỷ đồng, lần lượt giảm 22% và giảm 26% so với năm 2023.
Kết quả kinh doanh Q4/2023 và năm 2024 của CTCP Dược Hậu Giang
(nguồn: FireAnt)
Tại thời điểm cuối năm 2024, tổng tài sản của Dược Hậu Giang đạt 5.959 tỷ đồng, giảm nhẹ so với đầu năm. Tiền mặt và tiền gửi ngân hàng chiếm tỷ trọng lớn với 2.808 tỷ đồng (tương đương 47% tổng tài sản). Ngoài ra, hàng tồn kho của doanh nghiệp đạt hơn 1.100 tỷ đồng.
Về vốn chủ sở hữu, công ty hiện có 4.095 tỷ đồng, trong đó gồm 1.307 tỷ đồng vốn cổ phần, 2.458 tỷ đồng quỹ đầu tư phát triển và 322 tỷ đồng lợi nhuận sau thuế chưa phân phối.
Từ khi niêm yết năm 2006, Dược Hậu Giang luôn trả cổ tức tiền mặt đều đặn với tỷ lệ trung bình 30 - 40%. Năm 2023, doanh nghiệp chi trả mức cổ tức cao nhất lịch sử 75% trong bối cảnh lợi nhuận đạt đỉnh. Năm 2024, Công ty dự kiến duy trì tỷ lệ chia cổ tức 75%.
Trong đó, vào giữa tháng 2/2025, Công ty đã tạm ứng cổ tức năm 2024 với tỷ lệ 40% bằng tiền mặt. Như vậy, nếu theo kế hoạch đã thông qua, DHG sẽ còn chia cổ tức năm 2024 với tỷ lệ 35%.
Trên thị trường chứng khoán, đóng cửa phiên giao dịch ngày 18/3, cổ phiếu DHG đứng tại mức giá 100.300 đồng/CP."
DHG: Ngày GDKHQ nhận cổ tức bằng tiền đợt 2 năm 2023 (35%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-nhan-co-tuc-bang-tien-dot-2-nam-2023-35-post350172.html,26/07/2024 11:42,"Ngày giao dịch không hưởng quyền: 08/08/2024
Ngày đăng ký cuối cùng: 09/08/2024
Lý do mục đích: Trả cổ tức bằng tiền đợt 2 năm 2023
- Tỷ lệ thực hiện: 35%/cổ phiếu (01 cổ phiếu được nhận 3.500 đồng)
- Ngày thanh toán: 21/08/2024
- Địa điểm thực hiện:
+ Đối với chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.
+ Đối với chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại trụ sở chính CTCP Dược Hậu Giang, số 288 Bis Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, Tp. Cần Thơ vào các ngày làm việc trong tuần bắt đầu từ ngày 21/08/2024 và xuất trình chứng minh nhân dân."
Dược Hậu Giang (DHG) chốt quyền tạm ứng cổ tức 40% bằng tiền mặt,https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-chot-quyen-tam-ung-co-tuc-40-bang-tien-mat-post346269.html,30/05/2024 15:48,"Theo đó, ngày 12/6 tới đây Công ty sẽ chốt danh sách cổ đông trả cổ tức đợt 1/2023 bằng tiền mặt với tỷ lệ 40%, tương ứng cổ đông sở hữu 1 cổ phiếu sẽ được nhận 4.000 đồng và với hơn 130 triệu cổ phiếu đang lưu hành thì DHG sẽ phải chi hơn 520 tỷ đồng để thực hiện quyền. Thời gian thanh toán cổ tức dự kiến ngày 26/6.
Tỷ lệ tạm ứng cổ tức này vượt kế hoạch đã đề ra vào đầu năm là 35%, đồng thời cao hơn so với mức chia cổ tức của cả năm 2021-2022.
Tuy nhiên, tại ĐHCĐ thường niên năm 2023 diễn ra vào cuối tháng 4/2024, Dược Hậu Giang đã thông qua mức chia cổ tức năm 2023 với tỷ lệ khủng là 75%, điều này xuất phát từ kết quả kinh doanh trong năm vừa qua đạt kỷ lục.
Cụ thể, năm 2023, Công ty lập đỉnh lợi nhuận mới với doanh thu thuần đạt 5.015,4 tỷ đồng và lợi nhuận sau thuế đạt hơn 1.051 tỷ đồng, lần lượt tăng 7% và 6% so với năm 2022. Đây cũng là lần đầu tiên kể từ khi thành lập, doanh nghiệp đầu ngành dược có lãi ròng trên nghìn tỷ trong một năm.
Về kế hoạch kinh doanh năm 2024, Dược Hậu Giang đặt mục tiêu doanh thu 5.200 tỷ đồng, lợi nhuận trước thuế 1.080 tỷ đồng và tỷ lệ chia cổ tức bằng tiền mặt dự kiến duy trì mức 75%.
Trong đó, kết thúc quý I/2024, Công ty ghi nhận doanh thu thuần đạt 1.258,5 tỷ đồng, tăng nhẹ 2,44% so với cùng kỳ năm ngoái; lợi nhuận trước và sau thuế lần lượt đạt 250 tỷ đồng và 222,23 tỷ đồng, tương ứng giảm 36% và 38,43% so với cùng kỳ.
Như vậy, 3 tháng đầu năm, Dược Hậu Giang đã hoàn thành 24,2% kế hoạch doanh thu và 23,15% kế hoạch lợi nhuận cả năm.
Trên thị trường, cổ phiếu DHG liên tục khởi sắc, đóng cửa phiên giao dịch ngày 30/5 tăng hơn 3% lên mức 123.500 đồng/CP, đây cũng là mức giá cao nhất kể từ đầu năm."
DHG: Ngày GDKHQ chi trả cổ tức đợt 1 năm 2023 bằng tiền (40%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-chi-tra-co-tuc-dot-1-nam-2023-bang-tien-40-post346481.html,03/06/2024 11:03,"- Ngày giao dịch không hưởng quyền: 11/06/2024.
- Ngày đăng ký cuối cùng: 12/06/2024.
- Lý do mục đích: Trả cổ tức bằng tiền đợt 1 năm 2023
- Tỷ lệ thực hiện: 40%/cổ phiếu (01 cổ phiếu được nhận 4.000 đồng)
- Ngày thanh toán: 26/06/2024
- Địa điểm thực hiện:
+ Đối với chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.
+ Đối với chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại trụ sở chính CTCP Dược Hậu Giang, số 288 Bis Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, Tp. Cần Thơ vào các ngày làm việc trong tuần bắt đầu từ ngày 26/06/2024 và xuất trình chứng minh nhân dân."
Công ty cổ phần Dược Hậu Giang (DHG – HOSE),https://www.tinnhanhchungkhoan.vn/cong-ty-co-phan-duoc-hau-giang-dhg-hose-post340022.html,27/02/2024 15:46,- Địa điểm tổ chức: Cần Thơ.
DHG Pharma nối dài đà tăng trưởng,https://www.tinnhanhchungkhoan.vn/dhg-pharma-noi-dai-da-tang-truong-post320010.html,24/04/2023 09:44,"Kết quả 2022 rực rỡ
Đại hội đồng cổ đông thường niên năm 2022 của DHG Pharma tổ chức ngày 19/4/2023 đã thông qua tất cả các tờ trình của Hội đồng quản trị với tỷ lệ nhất trí cao.
Năm 2022, Công ty đạt doanh thu 4.676 tỷ đồng, lợi nhuận trước thuế đạt 1.100 tỷ đồng, lợi nhuận sau thuế đạt 988 tỷ đồng, tăng trưởng 16,8% về doanh thu và 27,3% về lợi nhuận. Đây là kết quả sản xuất - kinh doanh rực rỡ nhất trong lịch sử hoạt động của DHG Pharma.
Kết quả trên có được là nhờ Công ty tăng năng suất lao động, hiệu quả đầu tư và quản trị tốt chi phí; gia tăng sản lượng sản xuất, tồn kho nguyên liệu và thành phẩm giá thấp nên lãi gộp được cải thiện đáng kể.
Năm qua, Công ty tiếp tục giữ vững vị trí dẫn đầu ngành công nghiệp dược Việt Nam 26 năm liền về doanh thu và lợi nhuận, tiếp tục trong Top 5 doanh nghiệp dược có thị phần lớn nhất trong ngành.
2022 cũng là năm DHG Pharma tái khẳng định hành trình nghiên cứu tìm kiếm các giải pháp đột phá chăm sóc sức khỏe con người. Theo đó, các dự án chuyển giao công nghệ với các đối tác Nhật Bản, các công ty con của Taisho, các dự án chuyển giao sản phẩm của DHG Pharma được thực hiện đúng kế hoạch.
5 sản phẩm mới đã được triển khai sản xuất, 16 sản phẩm mới được cấp số đăng ký trong nước, 23 sản phẩm được cấp số đăng ký xuất khẩu. Tính đến 31/12/2022, Công ty có 48 sản phẩm đạt tương đương sinh học, tăng 5 sản phẩm so với năm trước.
Đà tăng trưởng ấn tượng của DHG Pharma có nền tảng bền vững thể hiện qua năng lực sản xuất và kênh phân phối rộng khắp cả nước, hiện có thêm “đôi cánh” xuất khẩu. Năm 2022, tổng sản lượng sản xuất của 2 nhà máy đạt 5.668 triệu đơn vị sản phẩm, tăng 40% so với cùng kỳ. Giá trị sản xuất đạt 6.405 tỷ đồng, tăng 38% so với năm trước. Nhu cầu sản xuất tăng mạnh, nhưng khối sản xuất đã nỗ lực ổn định cung ứng hàng hóa với chất lượng tốt nhất.
Nối dài đà tăng trưởng
Năm 2023, DHG Pharma đặt kế hoạch doanh thu 5.000 tỷ đồng, lợi nhuận trước thuế 1.130 tỷ đồng. Tại đại hội cổ đông, “ông lớn” ngành dược công bố sẽ tiếp tục đầu tư dây chuyền sản xuất tự động nhằm nâng cao năng lực sản xuất, tăng cường chuyển giao các sản phẩm mới và hợp tác toàn diện với nhà đầu tư Taisho. Với vai trò là một công ty dược đa quốc gia, thương hiệu DHG Pharma sẽ được nâng tầm với nhiều giá trị mới, cả về sản xuất, sản phẩm và kênh phân phối.
Công ty Chứng khoán Mirae Asset Việt Nam đánh giá, trái ngược với các công ty phụ thuộc lớn vào kênh ETC bị ảnh hưởng bởi chính sách đấu thầu thuốc và áp lực chi phí nguyên liệu khiến biên lợi nhuận suy giảm, DHG Pharma vẫn tiếp tục tăng trưởng lợi nhuận năm thứ ba liên tiếp nhờ sự dẫn dắt từ mảng OTC với lợi thế chuỗi phân phối rộng khắp.
Việc kết thúc giãn cách xã hội và những thay đổi tích cực trong chính sách bán hàng và quản trị sẽ tiếp tục thúc đẩy đà tăng trưởng của DHG Pharma. Đặc biệt, động lực từ Nhà máy Japan-GMP mới, dự kiến vận hành từ quý II/2024, sẽ đảm bảo tăng trưởng dài hạn cho Công ty.
Lợi thế về mặt công nghệ từ Taisho cũng như những thay đổi về chính sách quản trị đã giúp DHG Pharma đi ngược tình hình chung. Hiện tại, trong hơn 300 dòng thuốc của DHG Pharma đã có trên 100 sản phẩm sản xuất trên dây chuyền Japan-GMP. Việc Công ty tiếp tục đầu tư thêm nhà máy EU/Japan-GMP với tổng mức đầu tư gần 700 tỷ đồng sẽ là động lực tăng trưởng dài hạn cho Công ty.
Bước ngoặt của DHG Pharma khi gia nhập và khẳng định vị thế mới trong câu lạc bộ các doanh nghiệp có lợi nhuận nghìn tỷ đồng là một hành trình đầy nỗ lực, với bề dày gần 50 năm hoạt động. Kế thừa và liên tục đổi mới để sáng tạo ra nhiều giá trị cho cuộc sống con người, DHG Pharma tin tưởng vào một tương lai tươi sáng."
Dược Hậu Giang (DHG): Lợi nhuận 6 tháng tăng trưởng 27% so với cùng kỳ,https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-loi-nhuan-6-thang-tang-truong-27-so-voi-cung-ky-post327938.html,15/08/2023 06:29,"Dược Hậu Giang ghi nhận lợi nhuận 6 tháng tăng 137 tỷ đồng so với cùng kỳ năm ngoái.
Tại báo cáo tài chính quý II/2023, doanh thu thuần về bán hàng của Dược Hậu Giang đạt 1.153 tỷ đồng, tăng 3% so với cùng kỳ năm ngoái. Lợi nhuận trước thuế quý II/2023 đạt 289 tỷ đồng, tăng 11% so với cùng kỳ năm ngoái. Lợi nhuận sau thuế đạt 263 tỷ đồng, tăng 12% so với cùng kỳ năm ngoái.
Giải thích về đà tăng trưởng này, Công ty cho biết, trong quý II/2023, Dược Hậu Giang tiếp tục tập trung bán các sản phẩm chiến lược, chủ lực. Hệ thống phân phối ngày càng được tổ chức chặt chẽ và kết nối tốt với khách hàng. Lợi nhuận tài chính tốt. Nhờ đó, lợi nhuận quý II tăng trưởng 12% so với cùng kỳ năm ngoái.
Tại báo cáo tài chính soát xét bán niên năm 2023, doanh thu thuần 6 tháng đầu năm 2023 của Dược Hậu Giang đạt 2.381 tỷ đồng, tăng trưởng 9% so với cùng kỳ năm ngoái đạt 2.184 tỷ đồng. Lợi nhuận trước thuế đạt 680 tỷ đồng, tăng trưởng 24% so với cùng kỳ năm ngoái. Lợi nhuận sau thuế đạt 624 tỷ đồng, tăng trưởng 27% so với cùng kỳ năm ngoái.
Lý giải nguyên nhân có lợi nhuận tăng trưởng mạnh trong 6 tháng đầu năm nay, Công ty cho biết, doanh thu thuần và lợi nhuận sau thuế có mức tăng trưởng lần lượt 9% và 27% so với cùng kỳ do DHG Pharma tiếp tục tập trung bán các sản phẩm chiến lược, chủ lực. Hệ thống phân phối ngày càng được tổ chức chặt chẽ và kết nối tốt với khách hàng. Lợi nhuận tài chính tốt.
Với kết quả đạt được của 6 tháng đầu năm 2023, Dược Hậu Giang đã hoàn thành được 48% kế hoạch về doanh thu và 60% kế hoạch về lợi nhuận cả năm.
Tính đến hết ngày 30/6/2023, Dược Hậu Giang có tổng tài sản tăng từ 5.168 tỷ đồng hồi đầu năm lên 5.724 tỷ đồng, tương ứng mức tăng 10,7%. Trong đó, tài sản ngắn hạn là 4.551 tỷ đồng, chiếm đến 79,5% tổng tài sản. Tiền và các khoản tương đương tiền của công ty là 56,4 tỷ đồng (tăng 56,6% so với hồi đầu năm), và tiền gửi đến ngày đáo hạn là 2.320 tỷ đồng.
Hàng tồn kho của công ty tăng từ 1.250 tỷ đồng hồi đầu năm lên 1.489 tỷ đồng, tương ứng mức tăng 19%. Tài sản dài hạn của công ty chiếm 20,5% tổng tài sản với 1.172 tỷ đồng, trong đó chủ yếu là các tài sản cố định (772 tỷ đồng).
Về cơ cấu nguồn vốn, công ty có vốn chủ sở hữu là 4.426 tỷ đồng. Nợ phải trả tăng từ 876 tỷ đồng hồi đầu năm lên 1.298 tỷ đồng, tương ứng mức tăng 48%. Trong đó, chủ yếu là nợ ngắn hạn với 1.231 tỷ đồng, chiếm gần 95% tổng số dư nợ của Dược Hậu Giang. Chủ yếu là nợ vay ngắn hạn hơn 621 tỷ đồng, phải trả người bán ngắn hạn 301 tỷ đồng, phải trả người lao động 158 tỷ đồng, doanh thu chưa thực hiện ngắn hạn hơn 44 tỷ đồng…
Trên thị trường chứng khoán, đóng cửa phiên giao dịch ngày 14/8, cổ phiếu DHG đạt thị giá 116.000 đồng/cổ phiếu, không có biến động về giá so với phiên trước đó. Nhưng so với thị giá 86.400 đồng/cổ phiếu hồi đầu năm (3/1), thì cổ phiếu DHG đã tăng 34,2%."
