Column1,Column2,Column3,Column4
title,link,published,content
DHG: Ngày GDKHQ tr? c? t?c n?m 2024 b?ng ti?n (60%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-tra-co-tuc-nam-2024-bang-tien-60-post369577.html,19/05/2025 11:49,"- Ngày giao d?ch không h??ng quy?n: 23/5/2025
- Ngày ??ng ký cu?i cùng: 26/05/2025
- Lý do m?c ?ích: Tr? c? t?c b?ng ti?n n?m 2024
- T? l? th?c hi?n: 60%/c? phi?u (01 c? phi?u ???c nh?n 6.000 ??ng)
- Ngày thanh toán: 18/06/2025
- ??a ?i?m th?c hi?n:
+ ??i v?i ch?ng khoán ?ã l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i các Thành viên l?u ký n?i m? tài kho?n l?u ký ch?ng khoán.
+ ??i v?i ch?ng khoán ch?a l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i tr? s? chính CTCP D??c H?u Giang, s? 288 Bis Nguy?n V?n C?, P. An Hòa, Q. Ninh Ki?u, Tp. C?n Th? vào các ngày làm vi?c trong tu?n b?t ??u t? ngày 18/06/2025 và xu?t trình c?n c??c công dân/c?n c??c"
DHG: Ngày GDKHQ nh?n t?m ?ng c? t?c b?ng ti?n n?m 2024 (40%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-nhan-tam-ung-co-tuc-bang-tien-nam-2024-40-post360107.html,16/12/2024 17:27,"Ngày giao d?ch không h??ng quy?n: 24/12/2024
Ngày ??ng ký cu?i cùng: 25/12/2024
Lý do m?c ?ích: T?m ?ng c? t?c b?ng ti?n n?m 2024
- T? l? th?c hi?n: 40%/c? phi?u (01 c? phi?u ???c nh?n 4.000 ??ng)
- Ngày thanh toán: 14/02/2025
- ??a ?i?m th?c hi?n:
+ ??i v?i ch?ng khoán l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i các Thành viên l?u ký n?i m? tài kho?n l?u ký.
+ ??i v?i ch?ng khoán ch?a l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i tr? s? chính CTCP D??c H?u Giang, s? 288 Bis Nguy?n V?n C?, P. An Hòa, Q. Ninh Ki?u, Tp. C?n Th? vào các ngày làm vi?c trong tu?n b?t ??u t? ngày 14/02/2025 và xu?t trình ch?ng minh nhân dân."
"D??c H?u Giang (DHG) mu?n chi g?n 784,5 t? ??ng tr? c? t?c 2024, t? l? 60%",https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-muon-chi-gan-7845-ty-dong-tra-co-tuc-2024-ty-le-60-post369168.html,13/05/2025 09:15,"Theo ?ó, Công ty s? tr? c? t?c b?ng ti?n, t? l? 60% (t??ng ?ng 01 c? phi?u ???c nh?n 6.000 ??ng). Th?i gian thanh toán vào ngày 18/06/2025.
Nh? v?y, v?i h?n 130,7 tri?u c? phi?u ?ang l?u hành, D??c H?u Giang s? chi g?n 784,5 t? ??ng tr? c? t?c cho c? ?ông t? ngu?n l?i nhu?n sau thu? ch?a phân ph?i trên BCTC ki?m toán n?m 2024 và l?i nhu?n sau thu? ch?a phân ph?i t? hoàn nh?p Qu? ??u t? phát tri?n.
Tr??c ?ó, vào gi?a tháng 2/2025, Công ty ?ã t?m ?ng c? t?c n?m 2024 v?i t? l? 40% b?ng ti?n m?t. Nh? v?y, sau 2 ??t tr? c? t?c, Công ty ?ã hoàn t?t ngh?a v? c? t?c ???c c? ?ông thông qua t?i ?H?C? n?m 2025 v?i t?ng t? l? 100%. ?ây c?ng là m?c c? t?c cao l?ch s? c?a DHG, v??t qua m?c 75% c?a n?m 2023.
Trong khi ?ó, k?t thúc n?m 2024, D??c H?u Giang ghi nh?n k?t qu? kinh doanh ?i lùi v?i doanh thu ??t 4.885 t? ??ng, gi?m g?n 3% so v?i n?m tr??c và l?i nhu?n sau thu? ??t 779 t? ??ng, gi?m 26%.
Theo báo cáo tài chính m?i nh?t, k?t thúc quý I/2025, D??c H?u Giang mang v? 1.195 t? ??ng doanh thu thu?n, gi?m 5% so v?i quý I/2024; nh?ng l?i nhu?n sau thu? t?ng t?i 20%, ??t 266 t? ??ng nh? c? c?u doanh thu tích c?c (dù doanh thu hàng hoá gi?m, nh?ng doanh thu hàng DHG s?n xu?t t?ng, giúp c?i thi?n hi?u qu? biên l?i nhu?n), và t?i ?u chi phí giúp l?i nhu?n t?ng.
N?m 2025, DHG ?ã thông qua k? ho?ch kinh doanh v?i m?c tiêu doanh thu ??t 5.210 t? ??ng và lãi tr??c thu? ??t 940 t? ??ng, t?ng l?n l??t 7% và 4% so v?i th?c hi?n 2024. V?i k?t qu? ??t 293 t? ??ng l?i nhu?n tr??c thu?, k?t thúc quý I, Công ty ?ã hoàn thành h?n 31% m?c tiêu l?i nhu?n c? n?m.
Trên th? tr??ng ch?ng khoán, ?óng c?a phiên giao d?ch ngày 12/05, c? phi?u DHG gi?m 1,23%, v? m?c 104.500 ??ng/CP. Nh?ng v?i m?c giá này, c? phi?u ?ã ph?c h?i g?n 17% t? ?áy cu?c kh?ng ho?ng thu? quan ngày 09/04 và b?t phá kh?i vùng tích lu? tr??c ?ó."
"D??c H?u Giang (DHG) ??t m?c tiêu l?i nhu?n tr??c thu? n?m 2025 ??t 940 t? ??ng, t?ng 4%",https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-dat-muc-tieu-loi-nhuan-truoc-thue-nam-2025-dat-940-ty-dong-tang-4-post365599.html,18/03/2025 15:09,"K? ho?ch này s? ???c trình lên ?H?C? th??ng niên n?m 2025, Công ty d? ki?n t? ch?c vào ngày 24/4, t?i C?n Th?.
Bên c?nh k? ho?ch kinh doanh n?m 2025, H?QT D??c H?u Giang c?ng phê duy?t các giao d?ch, h?p ??ng th??ng niên gi?a Công ty v?i các t? ch?c có liên quan n?m 2025 g?m CTCP Ch? t?o Thu?c Taisho (Taisho) – công ty m? c?a DHG và Taisho Pharmaceuticals (Philippin) Co., Ltd – công ty con c?a Taisho.
V? ho?t ??ng kinh doanh, n?m 2024, D??c H?u Giang ghi nh?n doanh thu 4.885 t? ??ng, gi?m g?n 3% so v?i n?m tr??c; l?i nhu?n tr??c và sau thu? ??t 904 t? ??ng và 779 t? ??ng, l?n l??t gi?m 22% và gi?m 26% so v?i n?m 2023.
K?t qu? kinh doanh Q4/2023 và n?m 2024 c?a CTCP D??c H?u Giang
(ngu?n: FireAnt)
T?i th?i ?i?m cu?i n?m 2024, t?ng tài s?n c?a D??c H?u Giang ??t 5.959 t? ??ng, gi?m nh? so v?i ??u n?m. Ti?n m?t và ti?n g?i ngân hàng chi?m t? tr?ng l?n v?i 2.808 t? ??ng (t??ng ???ng 47% t?ng tài s?n). Ngoài ra, hàng t?n kho c?a doanh nghi?p ??t h?n 1.100 t? ??ng.
V? v?n ch? s? h?u, công ty hi?n có 4.095 t? ??ng, trong ?ó g?m 1.307 t? ??ng v?n c? ph?n, 2.458 t? ??ng qu? ??u t? phát tri?n và 322 t? ??ng l?i nhu?n sau thu? ch?a phân ph?i.
T? khi niêm y?t n?m 2006, D??c H?u Giang luôn tr? c? t?c ti?n m?t ??u ??n v?i t? l? trung bình 30 - 40%. N?m 2023, doanh nghi?p chi tr? m?c c? t?c cao nh?t l?ch s? 75% trong b?i c?nh l?i nhu?n ??t ??nh. N?m 2024, Công ty d? ki?n duy trì t? l? chia c? t?c 75%.
Trong ?ó, vào gi?a tháng 2/2025, Công ty ?ã t?m ?ng c? t?c n?m 2024 v?i t? l? 40% b?ng ti?n m?t. Nh? v?y, n?u theo k? ho?ch ?ã thông qua, DHG s? còn chia c? t?c n?m 2024 v?i t? l? 35%.
Trên th? tr??ng ch?ng khoán, ?óng c?a phiên giao d?ch ngày 18/3, c? phi?u DHG ??ng t?i m?c giá 100.300 ??ng/CP."
DHG: Ngày GDKHQ nh?n c? t?c b?ng ti?n ??t 2 n?m 2023 (35%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-nhan-co-tuc-bang-tien-dot-2-nam-2023-35-post350172.html,26/07/2024 11:42,"Ngày giao d?ch không h??ng quy?n: 08/08/2024
Ngày ??ng ký cu?i cùng: 09/08/2024
Lý do m?c ?ích: Tr? c? t?c b?ng ti?n ??t 2 n?m 2023
- T? l? th?c hi?n: 35%/c? phi?u (01 c? phi?u ???c nh?n 3.500 ??ng)
- Ngày thanh toán: 21/08/2024
- ??a ?i?m th?c hi?n:
+ ??i v?i ch?ng khoán l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i các Thành viên l?u ký n?i m? tài kho?n l?u ký.
+ ??i v?i ch?ng khoán ch?a l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i tr? s? chính CTCP D??c H?u Giang, s? 288 Bis Nguy?n V?n C?, P. An Hòa, Q. Ninh Ki?u, Tp. C?n Th? vào các ngày làm vi?c trong tu?n b?t ??u t? ngày 21/08/2024 và xu?t trình ch?ng minh nhân dân."
D??c H?u Giang (DHG) ch?t quy?n t?m ?ng c? t?c 40% b?ng ti?n m?t,https://www.tinnhanhchungkhoan.vn/duoc-hau-giang-dhg-chot-quyen-tam-ung-co-tuc-40-bang-tien-mat-post346269.html,30/05/2024 15:48,"Theo ?ó, ngày 12/6 t?i ?ây Công ty s? ch?t danh sách c? ?ông tr? c? t?c ??t 1/2023 b?ng ti?n m?t v?i t? l? 40%, t??ng ?ng c? ?ông s? h?u 1 c? phi?u s? ???c nh?n 4.000 ??ng và v?i h?n 130 tri?u c? phi?u ?ang l?u hành thì DHG s? ph?i chi h?n 520 t? ??ng ?? th?c hi?n quy?n. Th?i gian thanh toán c? t?c d? ki?n ngày 26/6.
T? l? t?m ?ng c? t?c này v??t k? ho?ch ?ã ?? ra vào ??u n?m là 35%, ??ng th?i cao h?n so v?i m?c chia c? t?c c?a c? n?m 2021-2022.
Tuy nhiên, t?i ?HC? th??ng niên n?m 2023 di?n ra vào cu?i tháng 4/2024, D??c H?u Giang ?ã thông qua m?c chia c? t?c n?m 2023 v?i t? l? kh?ng là 75%, ?i?u này xu?t phát t? k?t qu? kinh doanh trong n?m v?a qua ??t k? l?c.
C? th?, n?m 2023, Công ty l?p ??nh l?i nhu?n m?i v?i doanh thu thu?n ??t 5.015,4 t? ??ng và l?i nhu?n sau thu? ??t h?n 1.051 t? ??ng, l?n l??t t?ng 7% và 6% so v?i n?m 2022. ?ây c?ng là l?n ??u tiên k? t? khi thành l?p, doanh nghi?p ??u ngành d??c có lãi ròng trên nghìn t? trong m?t n?m.
V? k? ho?ch kinh doanh n?m 2024, D??c H?u Giang ??t m?c tiêu doanh thu 5.200 t? ??ng, l?i nhu?n tr??c thu? 1.080 t? ??ng và t? l? chia c? t?c b?ng ti?n m?t d? ki?n duy trì m?c 75%.
Trong ?ó, k?t thúc quý I/2024, Công ty ghi nh?n doanh thu thu?n ??t 1.258,5 t? ??ng, t?ng nh? 2,44% so v?i cùng k? n?m ngoái; l?i nhu?n tr??c và sau thu? l?n l??t ??t 250 t? ??ng và 222,23 t? ??ng, t??ng ?ng gi?m 36% và 38,43% so v?i cùng k?.
Nh? v?y, 3 tháng ??u n?m, D??c H?u Giang ?ã hoàn thành 24,2% k? ho?ch doanh thu và 23,15% k? ho?ch l?i nhu?n c? n?m.
Trên th? tr??ng, c? phi?u DHG liên t?c kh?i s?c, ?óng c?a phiên giao d?ch ngày 30/5 t?ng h?n 3% lên m?c 123.500 ??ng/CP, ?ây c?ng là m?c giá cao nh?t k? t? ??u n?m."
DHG: Ngày GDKHQ chi tr? c? t?c ??t 1 n?m 2023 b?ng ti?n (40%),https://www.tinnhanhchungkhoan.vn/dhg-ngay-gdkhq-chi-tra-co-tuc-dot-1-nam-2023-bang-tien-40-post346481.html,03/06/2024 11:03,"- Ngày giao d?ch không h??ng quy?n: 11/06/2024.
- Ngày ??ng ký cu?i cùng: 12/06/2024.
- Lý do m?c ?ích: Tr? c? t?c b?ng ti?n ??t 1 n?m 2023
- T? l? th?c hi?n: 40%/c? phi?u (01 c? phi?u ???c nh?n 4.000 ??ng)
- Ngày thanh toán: 26/06/2024
- ??a ?i?m th?c hi?n:
+ ??i v?i ch?ng khoán l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i các Thành viên l?u ký n?i m? tài kho?n l?u ký.
+ ??i v?i ch?ng khoán ch?a l?u ký: Ng??i s? h?u làm th? t?c nh?n c? t?c t?i tr? s? chính CTCP D??c H?u Giang, s? 288 Bis Nguy?n V?n C?, P. An Hòa, Q. Ninh Ki?u, Tp. C?n Th? vào các ngày làm vi?c trong tu?n b?t ??u t? ngày 26/06/2024 và xu?t trình ch?ng minh nhân dân."
Công ty c? ph?n D??c H?u Giang (DHG – HOSE),https://www.tinnhanhchungkhoan.vn/cong-ty-co-phan-duoc-hau-giang-dhg-hose-post340022.html,27/02/2024 15:46,- ??a ?i?m t? ch?c: C?n Th?.
DHG Pharma n?i dài ?à t?ng tr??ng,https://www.tinnhanhchungkhoan.vn/dhg-pharma-noi-dai-da-tang-truong-post320010.html,24/04/2023 09:44,"K?t qu? 2022 r?c r?
??i h?i ??ng c? ?ông th??ng niên n?m 2022 c?a DHG Pharma t? ch?c ngày 19/4/2023 ?ã thông qua t?t c? các t? trình c?a H?i ??ng qu?n tr? v?i t? l? nh?t trí cao.
N?m 2022, Công ty ??t doanh thu 4.676 t? ??ng, l?i nhu?n tr??c thu? ??t 1.100 t? ??ng, l?i nhu?n sau thu? ??t 988 t? ??ng, t?ng tr??ng 16,8% v? doanh thu và 27,3% v? l?i nhu?n. ?ây là k?t qu? s?n xu?t - kinh doanh r?c r? nh?t trong l?ch s? ho?t ??ng c?a DHG Pharma.
K?t qu? trên có ???c là nh? Công ty t?ng n?ng su?t lao ??ng, hi?u qu? ??u t? và qu?n tr? t?t chi phí; gia t?ng s?n l??ng s?n xu?t, t?n kho nguyên li?u và thành ph?m giá th?p nên lãi g?p ???c c?i thi?n ?áng k?.
N?m qua, Công ty ti?p t?c gi? v?ng v? trí d?n ??u ngành công nghi?p d??c Vi?t Nam 26 n?m li?n v? doanh thu và l?i nhu?n, ti?p t?c trong Top 5 doanh nghi?p d??c có th? ph?n l?n nh?t trong ngành.
2022 c?ng là n?m DHG Pharma tái kh?ng ??nh hành trình nghiên c?u tìm ki?m các gi?i pháp ??t phá ch?m sóc s?c kh?e con ng??i. Theo ?ó, các d? án chuy?n giao công ngh? v?i các ??i tác Nh?t B?n, các công ty con c?a Taisho, các d? án chuy?n giao s?n ph?m c?a DHG Pharma ???c th?c hi?n ?úng k? ho?ch.
5 s?n ph?m m?i ?ã ???c tri?n khai s?n xu?t, 16 s?n ph?m m?i ???c c?p s? ??ng ký trong n??c, 23 s?n ph?m ???c c?p s? ??ng ký xu?t kh?u. Tính ??n 31/12/2022, Công ty có 48 s?n ph?m ??t t??ng ???ng sinh h?c, t?ng 5 s?n ph?m so v?i n?m tr??c.
?à t?ng tr??ng ?n t??ng c?a DHG Pharma có n?n t?ng b?n v?ng th? hi?n qua n?ng l?c s?n xu?t và kênh phân ph?i r?ng kh?p c? n??c, hi?n có thêm “?ôi cánh” xu?t kh?u. N?m 2022, t?ng s?n l??ng s?n xu?t c?a 2 nhà máy ??t 5.668 tri?u ??n v? s?n ph?m, t?ng 40% so v?i cùng k?. Giá tr? s?n xu?t ??t 6.405 t? ??ng, t?ng 38% so v?i n?m tr??c. Nhu c?u s?n xu?t t?ng m?nh, nh?ng kh?i s?n xu?t ?ã n? l?c ?n ??nh cung ?ng hàng hóa v?i ch?t l??ng t?t nh?t.
N?i dài ?à t?ng tr??ng
N?m 2023, DHG Pharma ??t k? ho?ch doanh thu 5.000 t? ??ng, l?i nhu?n tr??c thu? 1.130 t? ??ng. T?i ??i h?i c? ?ông, “ông l?n” ngành d??c công b? s? ti?p t?c ??u t? dây chuy?n s?n xu?t t? ??ng nh?m nâng cao n?ng l?c s?n xu?t, t?ng c??ng chuy?n giao các s?n ph?m m?i và h?p tác toàn di?n v?i nhà ??u t? Taisho. V?i vai trò là m?t công ty d??c ?a qu?c gia, th??ng hi?u DHG Pharma s? ???c nâng t?m v?i nhi?u giá tr? m?i, c? v? s?n xu?t, s?n ph?m và kênh phân ph?i.
Công ty Ch?ng khoán Mirae Asset Vi?t Nam ?ánh giá, trái ng??c v?i các công ty ph? thu?c l?n vào kênh ETC b? ?nh h??ng b?i chính sách ??u th?u thu?c và áp l?c chi phí nguyên li?u khi?n biên l?i nhu?n suy gi?m, DHG Pharma v?n ti?p t?c t?ng tr??ng l?i nhu?n n?m th? ba liên ti?p nh? s? d?n d?t t? m?ng OTC v?i l?i th? chu?i phân ph?i r?ng kh?p.
Vi?c k?t thúc giãn cách xã h?i và nh?ng thay ??i tích c?c trong chính sách bán hàng và qu?n tr? s? ti?p t?c thúc ??y ?à t?ng tr??ng c?a DHG Pharma. ??c bi?t, ??ng l?c t? Nhà máy Japan-GMP m?i, d? ki?n v?n hành t? quý II/2024, s? ??m b?o t?ng tr??ng dài h?n cho Công ty.
L?i th? v? m?t công ngh? t? Taisho c?ng nh? nh?ng thay ??i v? chính sách qu?n tr? ?ã giúp DHG Pharma ?i ng??c tình hình chung. Hi?n t?i, trong h?n 300 dòng thu?c c?a DHG Pharma ?ã có trên 100 s?n ph?m s?n xu?t trên dây chuy?n Japan-GMP. Vi?c Công ty ti?p t?c ??u t? thêm nhà máy EU/Japan-GMP v?i t?ng m?c ??u t? g?n 700 t? ??ng s? là ??ng l?c t?ng tr??ng dài h?n cho Công ty.
B??c ngo?t c?a DHG Pharma khi gia nh?p và kh?ng ??nh v? th? m?i trong câu l?c b? các doanh nghi?p có l?i nhu?n nghìn t? ??ng là m?t hành trình ??y n? l?c, v?i b? dày g?n 50 n?m ho?t ??ng. K? th?a và liên t?c ??i m?i ?? sáng t?o ra nhi?u giá tr? cho cu?c s?ng con ng??i, DHG Pharma tin t??ng vào m?t t??ng lai t??i sáng."
